"","V1","insert_date","origin","destination","start_date","end_date","train_type","price","train_class","fare"
"13",2369824,"2019-04-17 15:33:14","MADRID","SEVILLA","2019-04-23 20:35:00","2019-04-23 23:15:00","AVE",49.4,"Turista Plus","Promo"
"14",673690,"2019-04-24 05:20:19","SEVILLA","MADRID","2019-05-18 13:40:00","2019-05-18 16:10:00","AVE",53.4,"Turista","Promo"
"15",496815,"2019-04-22 21:24:14","SEVILLA","MADRID","2019-04-30 06:10:00","2019-04-30 08:58:00","AV City",43.55,"Turista","Promo"
"16",844432,"2019-04-26 15:37:40","MADRID","SEVILLA","2019-06-02 18:00:00","2019-06-02 20:32:00","AVE",76.3,"Turista","Flexible"
"17",2125134,"2019-04-15 22:28:50","MADRID","PONFERRADA","2019-05-17 14:40:00","2019-05-17 18:33:00","AVE-MD",59.6,"Turista con enlace","Flexible"
"18",1915410,"2019-04-14 17:07:44","MADRID","BARCELONA","2019-04-24 17:00:00","2019-04-24 19:30:00","AVE",68.65,"Turista","Promo"
"19",2030115,"2019-04-15 09:30:01","BARCELONA","MADRID","2019-04-23 15:25:00","2019-04-23 17:55:00","AVE",68.65,"Turista","Promo"
"20",38831,"2019-04-19 12:23:17","PONFERRADA","MADRID","2019-04-28 11:44:00","2019-04-28 16:00:00","MD-LD",54.1,"Turista con enlace","Flexible"
"21",485912,"2019-04-22 19:31:37","MADRID","VALENCIA","2019-05-17 17:48:00","2019-05-17 21:58:00","INTERCITY",30.9,"Turista Plus","Promo"
"22",1630695,"2019-04-12 04:02:54","MADRID","BARCELONA","2019-05-02 17:00:00","2019-05-02 19:30:00","AVE",58.45,"Turista","Promo"
"23",837325,"2019-04-26 13:19:44","BARCELONA","MADRID","2019-05-25 12:00:00","2019-05-25 15:10:00","AVE",75.6,"Preferente","Promo"
"24",111890,"2019-04-20 01:35:48","VALENCIA","MADRID","2019-05-10 08:00:00","2019-05-10 09:47:00","AVE",39.45,"Turista","Promo"
"25",1353787,"2019-05-06 01:27:05","SEVILLA","MADRID","2019-05-13 14:58:00","2019-05-13 17:50:00","ALVIA",NA,"Preferente","Promo"
"26",1780571,"2019-04-13 15:10:26","SEVILLA","MADRID","2019-05-24 11:45:00","2019-05-24 14:17:00","AVE",53.4,"Turista","Promo"
"27",2383914,"2019-04-17 18:12:28","SEVILLA","MADRID","2019-04-26 19:15:00","2019-04-26 21:36:00","AVE",NA,"Turista","Flexible"
"28",662023,"2019-04-24 03:21:39","MADRID","VALENCIA","2019-05-17 19:40:00","2019-05-17 21:29:00","AVE",51.15,"Turista","Promo"
"29",127373,"2019-04-20 04:29:02","PONFERRADA","MADRID","2019-05-08 17:55:00","2019-05-08 22:55:00","MD-LD",27.05,"Turista con enlace","Promo"
"30",1392717,"2019-05-06 21:11:13","BARCELONA","MADRID","2019-05-28 07:25:00","2019-05-28 10:01:00","AVE",80.15,"Turista Plus","Promo"
"31",2242274,"2019-04-16 16:45:32","MADRID","PONFERRADA","2019-05-02 14:40:00","2019-05-02 18:33:00","AVE-MD",44.7,"Turista con enlace","Promo +"
"32",936009,"2019-04-28 03:46:02","MADRID","VALENCIA","2019-05-06 06:08:00","2019-05-06 12:55:00","REGIONAL",28.35,"Turista","Adulto ida"
"33",2492667,"2019-04-18 13:27:00","SEVILLA","MADRID","2019-04-26 09:40:00","2019-04-26 12:23:00","AVE",76.3,"Turista","Flexible"
"34",2185679,"2019-04-16 07:28:32","BARCELONA","MADRID","2019-04-25 15:00:00","2019-04-25 17:45:00","AVE",90.5,"Turista Plus","Promo"
"35",198831,"2019-04-20 17:25:41","MADRID","SEVILLA","2019-05-03 14:00:00","2019-05-03 16:32:00","AVE",69.4,"Preferente","Promo"
"36",2037632,"2019-04-15 10:32:10","BARCELONA","MADRID","2019-04-22 15:25:00","2019-04-22 17:55:00","AVE",127.1,"Turista","Flexible"
"37",1742933,"2019-04-13 07:03:10","MADRID","BARCELONA","2019-05-20 19:30:00","2019-05-20 22:40:00","AVE",NA,"Turista","Promo"
"38",1391971,"2019-05-06 21:06:29","MADRID","PONFERRADA","2019-05-14 12:20:00","2019-05-14 18:52:00","LD-MD",34.35,"Turista con enlace","Promo +"
"39",936330,"2019-04-28 05:01:39","MADRID","SEVILLA","2019-05-15 08:30:00","2019-05-15 11:14:00","ALVIA",NA,"Turista","Flexible"
"40",378140,"2019-04-22 00:33:34","MADRID","SEVILLA","2019-05-08 08:30:00","2019-05-08 11:14:00","ALVIA",NA,"Turista","Flexible"
"41",1181343,"2019-05-02 14:18:40","MADRID","VALENCIA","2019-05-14 21:10:00","2019-05-14 23:03:00","AVE",39.45,"Turista","Promo"
"42",1806554,"2019-04-13 21:00:29","SEVILLA","MADRID","2019-05-30 07:40:00","2019-05-30 10:05:00","AVE",60.3,"Turista","Promo"
"43",2475162,"2019-04-18 10:23:51","SEVILLA","MADRID","2019-05-24 10:45:00","2019-05-24 13:17:00","AVE",53.4,"Turista","Promo"
"44",1217003,"2019-05-03 07:20:26","BARCELONA","MADRID","2019-05-13 07:05:00","2019-05-13 09:50:00","AVE",85.1,"Turista","Promo"
"45",1244551,"2019-05-03 19:39:29","VALENCIA","MADRID","2019-05-18 08:00:00","2019-05-18 09:53:00","AVE",58.95,"Preferente","Promo"
"46",316025,"2019-04-21 14:11:43","BARCELONA","MADRID","2019-05-16 14:00:00","2019-05-16 17:10:00","AVE",58.15,"Turista","Promo"
"47",2112948,"2019-04-15 20:33:15","SEVILLA","MADRID","2019-04-26 07:40:00","2019-04-26 10:05:00","AVE",69.4,"Preferente","Promo"
"48",1211667,"2019-05-03 05:05:30","MADRID","BARCELONA","2019-05-23 05:50:00","2019-05-23 08:55:00","AVE",40.95,"Turista","Promo"
"49",712173,"2019-04-24 12:26:32","BARCELONA","MADRID","2019-05-01 06:05:00","2019-05-01 09:15:00","AVE",66.75,"Turista","Promo"
"50",1124356,"2019-05-01 11:35:16","MADRID","VALENCIA","2019-05-06 12:40:00","2019-05-06 14:20:00","AVE",39.45,"Turista","Promo"
"51",296,"2019-04-19 05:33:24","SEVILLA","MADRID","2019-05-18 08:45:00","2019-05-18 21:10:00","MD",52.5,"Turista con enlace","Flexible"
"52",2269027,"2019-04-16 21:34:40","SEVILLA","MADRID","2019-05-03 20:36:00","2019-05-03 23:14:00","ALVIA",67.2,"Turista","Flexible"
"53",1645550,"2019-04-12 08:07:05","MADRID","BARCELONA","2019-06-01 20:30:00","2019-06-01 23:40:00","AVE",59.5,"Turista Plus","Promo"
"54",916571,"2019-04-27 19:46:13","MADRID","BARCELONA","2019-05-07 16:00:00","2019-05-07 18:30:00","AVE",115.65,"Preferente","Promo"
"55",916624,"2019-04-27 19:46:39","BARCELONA","MADRID","2019-05-05 21:00:00","2019-05-06 00:02:00","AVE",102.15,"Turista Plus","Promo"
"56",664822,"2019-04-24 03:45:54","BARCELONA","MADRID","2019-05-20 09:03:00","2019-05-20 18:07:00","R. EXPRES",43.25,"Turista","Adulto ida"
"57",2412389,"2019-04-17 23:12:39","BARCELONA","MADRID","2019-05-19 18:00:00","2019-05-19 21:10:00","AVE",83.5,"Preferente","Promo"
"58",479689,"2019-04-22 18:19:15","VALENCIA","MADRID","2019-05-16 08:00:00","2019-05-16 09:47:00","AVE",27.8,"Turista","Promo"
"59",281559,"2019-04-21 08:34:53","PONFERRADA","MADRID","2019-05-12 17:15:00","2019-05-12 23:10:00","MD-LD",39.95,"Turista con enlace","Promo +"
"60",2466026,"2019-04-18 08:44:56","MADRID","SEVILLA","2019-05-21 18:35:00","2019-05-21 21:08:00","ALVIA",67.2,"Turista","Flexible"
"61",599392,"2019-04-23 15:42:56","MADRID","BARCELONA","2019-06-01 16:30:00","2019-06-01 19:15:00","AVE",80.15,"Turista Plus","Promo"
"62",2122591,"2019-04-15 22:10:12","VALENCIA","MADRID","2019-04-25 09:40:00","2019-04-25 11:20:00","AVE",45.3,"Turista","Promo"
"63",752795,"2019-04-25 05:02:45","BARCELONA","MADRID","2019-05-29 09:03:00","2019-05-29 18:07:00","R. EXPRES",43.25,"Turista","Adulto ida"
"64",1135516,"2019-05-01 17:09:36","VALENCIA","MADRID","2019-05-23 17:30:00","2019-05-23 23:58:00","MD-LD",28.1,"Turista con enlace","Promo +"
"65",612118,"2019-04-23 18:04:45","MADRID","VALENCIA","2019-05-30 16:55:00","2019-05-30 21:58:00","AVE-LD",56.1,"Turista con enlace","Flexible"
"66",1564610,"2019-05-09 09:42:56","MADRID","BARCELONA","2019-07-05 14:00:00","2019-07-05 16:30:00","AVE",100.4,"Turista","Promo"
"67",143140,"2019-04-20 07:26:13","VALENCIA","MADRID","2019-05-26 17:30:00","2019-05-26 19:43:00","INTERCITY",43.75,"Turista","Promo"
"68",2085081,"2019-04-15 16:22:46","MADRID","PONFERRADA","2019-05-18 14:40:00","2019-05-18 18:52:00","LD",42.75,"Turista con enlace","Promo +"
"69",629854,"2019-04-23 21:16:00","SEVILLA","MADRID","2019-05-10 11:45:00","2019-05-10 14:17:00","AVE",76.3,"Turista","Flexible"
"70",2365806,"2019-04-17 14:47:03","VALENCIA","MADRID","2019-05-05 21:05:00","2019-05-05 23:32:00","INTERCITY",NA,"",""
"71",911451,"2019-04-27 17:46:10","MADRID","BARCELONA","2019-05-08 06:10:00","2019-05-08 08:40:00","AVE",49.15,"Turista Plus","Promo"
"72",638715,"2019-04-23 22:46:20","MADRID","BARCELONA","2019-04-29 06:30:00","2019-04-29 09:20:00","AVE",75.4,"Turista","Promo"
"73",158852,"2019-04-20 10:23:51","VALENCIA","MADRID","2019-05-27 17:30:00","2019-05-27 23:58:00","MD-LD",32.4,"Turista con enlace","Promo +"
"74",1356408,"2019-05-06 03:23:45","BARCELONA","MADRID","2019-05-09 18:00:00","2019-05-09 21:10:00","AVE",129.3,"Turista Plus","Flexible"
"75",215945,"2019-04-20 20:43:05","MADRID","BARCELONA","2019-05-25 19:30:00","2019-05-25 22:40:00","AVE",58.15,"Turista","Promo"
"76",474694,"2019-04-22 17:27:24","MADRID","VALENCIA","2019-05-13 16:55:00","2019-05-13 21:58:00","AVE-LD",39.25,"Turista con enlace","Promo"
"77",215971,"2019-04-20 20:43:10","MADRID","BARCELONA","2019-05-24 20:00:00","2019-05-24 22:30:00","AVE",78.8,"Turista","Promo"
"78",498554,"2019-04-22 21:40:23","MADRID","VALENCIA","2019-04-24 17:48:00","2019-04-24 21:58:00","INTERCITY",NA,"Turista","Flexible"
"79",1587753,"2019-05-09 17:37:27","BARCELONA","MADRID","2019-06-13 16:00:00","2019-06-13 19:10:00","AVE",90.5,"Turista Plus","Promo"
"80",890845,"2019-04-27 09:44:48","MADRID","BARCELONA","2019-06-01 07:30:00","2019-06-01 10:40:00","AVE",75.4,"Turista","Promo"
"81",1313277,"2019-05-05 05:45:26","MADRID","BARCELONA","2019-05-26 16:30:00","2019-05-26 19:15:00","AVE",107.7,"Turista","Flexible"
"82",315480,"2019-04-21 14:06:45","MADRID","PONFERRADA","2019-04-27 14:40:00","2019-04-27 18:33:00","LD-MD",54.1,"Turista con enlace","Flexible"
"83",676156,"2019-04-24 05:45:14","MADRID","BARCELONA","2019-05-05 18:00:00","2019-05-05 20:30:00","AVE",127.1,"Turista","Flexible"
"84",2394299,"2019-04-17 20:03:47","BARCELONA","MADRID","2019-05-13 06:05:00","2019-05-13 09:15:00","AVE",75.4,"Turista","Promo"
"85",20412,"2019-04-19 09:10:48","VALENCIA","MADRID","2019-04-21 06:38:00","2019-04-21 13:37:00","REGIONAL",28.35,"Turista","Adulto ida"
"86",1252322,"2019-05-03 23:38:58","MADRID","VALENCIA","2019-05-30 07:40:00","2019-05-30 09:20:00","AVE",57.75,"Turista","Promo"
"87",1600465,"2019-04-11 22:00:41","MADRID","BARCELONA","2019-05-31 07:00:00","2019-05-31 09:30:00","AVE",78.8,"Turista","Promo"
"88",1573297,"2019-05-09 13:07:57","BARCELONA","MADRID","2019-05-14 14:00:00","2019-05-14 17:10:00","AVE",107.7,"Turista","Flexible"
"89",416929,"2019-04-22 07:22:54","VALENCIA","MADRID","2019-05-29 09:50:00","2019-05-29 17:28:00","REGIONAL",28.35,"Turista","Adulto ida"
"90",1793767,"2019-04-13 18:05:02","MADRID","BARCELONA","2019-04-16 14:00:00","2019-04-16 16:30:00","AVE",100.4,"Turista","Promo"
"91",2102822,"2019-04-15 19:07:54","MADRID","BARCELONA","2019-05-03 05:50:00","2019-05-03 08:55:00","AVE",49.55,"Turista","Promo"
"92",1442176,"2019-05-07 15:12:35","MADRID","BARCELONA","2019-05-14 20:30:00","2019-05-14 23:40:00","AVE",75.4,"Turista","Promo"
"93",395468,"2019-04-22 03:36:05","MADRID","BARCELONA","2019-05-21 10:30:00","2019-05-21 13:15:00","AVE",66.75,"Turista","Promo"
"94",735287,"2019-04-24 21:44:34","MADRID","BARCELONA","2019-05-18 10:30:00","2019-05-18 13:15:00","AVE",75.4,"Turista","Promo"
"95",2082064,"2019-04-15 16:08:29","MADRID","SEVILLA","2019-05-08 08:30:00","2019-05-08 11:14:00","ALVIA",NA,"Turista","Flexible"
"96",2637,"2019-04-19 06:05:36","MADRID","BARCELONA","2019-05-07 07:15:00","2019-05-07 16:37:00","R. EXPRES",43.25,"Turista","Adulto ida"
"97",2421697,"2019-04-18 00:50:48","MADRID","SEVILLA","2019-05-24 18:00:00","2019-05-24 20:32:00","AVE",76.3,"Turista","Flexible"
"98",801438,"2019-04-25 23:17:21","BARCELONA","MADRID","2019-05-16 15:25:00","2019-05-16 17:55:00","AVE",58.45,"Turista","Promo"
"99",117531,"2019-04-20 02:44:38","MADRID","BARCELONA","2019-05-28 11:30:00","2019-05-28 14:40:00","AVE",75.4,"Turista","Promo"
"100",567005,"2019-04-23 09:43:37","MADRID","BARCELONA","2019-05-19 07:30:00","2019-05-19 10:40:00","AVE",66.75,"Turista","Promo"
"101",1091959,"2019-04-30 21:33:14","MADRID","VALENCIA","2019-05-27 15:30:00","2019-05-27 22:31:00","AVE-MD",71,"Turista con enlace","Flexible"
"102",2268284,"2019-04-16 21:29:22","SEVILLA","MADRID","2019-05-31 09:40:00","2019-05-31 12:23:00","AVE",60.3,"Turista","Promo"
"103",940953,"2019-04-28 05:40:05","PONFERRADA","MADRID","2019-05-24 06:11:00","2019-05-24 11:57:00","LD",NA,"Turista","Promo"
"104",352329,"2019-04-21 20:13:18","SEVILLA","MADRID","2019-05-27 12:18:00","2019-05-27 14:56:00","ALVIA",NA,"Turista","Promo"
"105",1088278,"2019-04-30 19:38:45","SEVILLA","MADRID","2019-05-19 20:15:00","2019-05-19 22:36:00","AVE",76.3,"Turista","Flexible"
"106",1809293,"2019-04-13 21:18:42","MADRID","VALENCIA","2019-05-21 11:55:00","2019-05-21 13:35:00","AVE",21.95,"Turista","Promo"
"107",124262,"2019-04-20 04:03:54","BARCELONA","MADRID","2019-05-17 17:00:00","2019-05-17 19:45:00","AVE",66.75,"Turista","Promo"
"108",2020099,"2019-04-15 08:14:31","MADRID","SEVILLA","2019-06-01 20:35:00","2019-06-01 23:15:00","AVE",47.3,"Turista","Promo"
"109",2180965,"2019-04-16 07:02:29","SEVILLA","MADRID","2019-05-28 14:58:00","2019-05-28 17:50:00","ALVIA",47.05,"Turista","Promo"
"110",2111142,"2019-04-15 20:21:07","MADRID","VALENCIA","2019-06-06 16:05:00","2019-06-06 22:47:00","REGIONAL",28.35,"Turista","Adulto ida"
"111",2174658,"2019-04-16 06:04:27","MADRID","SEVILLA","2019-05-21 18:35:00","2019-05-21 21:08:00","ALVIA",67.2,"Turista","Flexible"
"112",1020116,"2019-04-29 15:11:12","MADRID","VALENCIA","2019-05-08 17:48:00","2019-05-08 21:58:00","INTERCITY",25.75,"Turista","Promo"
"113",2002877,"2019-04-15 05:33:01","VALENCIA","MADRID","2019-05-06 15:10:00","2019-05-06 17:03:00","AVE",39.45,"Turista","Promo"
"114",1485146,"2019-05-08 09:09:58","BARCELONA","MADRID","2019-05-16 20:00:00","2019-05-16 23:10:00","AVE",85.1,"Turista","Promo"
"115",376788,"2019-04-22 00:25:25","MADRID","VALENCIA","2019-06-15 16:30:00","2019-06-15 22:47:00","REGIONAL",28.35,"Turista","Adulto ida"
"116",1811228,"2019-04-13 22:01:21","MADRID","BARCELONA","2019-04-30 18:30:00","2019-04-30 21:20:00","AVE",107.7,"Turista","Flexible"
"117",806591,"2019-04-26 01:10:45","MADRID","VALENCIA","2019-05-07 16:55:00","2019-05-07 21:58:00","AVE-LD",39.25,"Turista con enlace","Promo"
"118",623275,"2019-04-23 20:09:01","MADRID","VALENCIA","2019-05-29 11:10:00","2019-05-29 13:25:00","INTERCITY",29.9,"Turista","Promo"
"119",170107,"2019-04-20 12:22:20","VALENCIA","MADRID","2019-04-29 06:20:00","2019-04-29 10:36:00","INTERCITY",30.05,"Turista","Promo"
"120",695722,"2019-04-24 09:20:27","MADRID","SEVILLA","2019-05-04 14:00:00","2019-05-04 16:32:00","AVE",NA,"Turista","Flexible"
"121",636214,"2019-04-23 22:23:56","SEVILLA","MADRID","2019-05-14 07:15:00","2019-05-14 09:55:00","AVE",76.3,"Turista","Flexible"
"122",2085259,"2019-04-15 16:25:34","MADRID","VALENCIA","2019-04-28 11:10:00","2019-04-28 13:25:00","INTERCITY",55.4,"Turista","Flexible"
"123",897126,"2019-04-27 13:05:24","MADRID","SEVILLA","2019-05-16 12:00:00","2019-05-16 14:32:00","AVE",53.4,"Turista","Promo"
"124",1467283,"2019-05-08 04:30:08","BARCELONA","MADRID","2019-07-02 07:00:00","2019-07-02 09:30:00","AVE",NA,"Turista Plus","Promo"
"125",1648469,"2019-04-12 09:04:00","MADRID","BARCELONA","2019-05-05 12:30:00","2019-05-05 15:30:00","AVE",102.15,"Turista Plus","Promo"
"126",2572711,"2019-04-19 04:19:10","MADRID","BARCELONA","2019-05-15 17:30:00","2019-05-15 20:40:00","AVE",54.45,"Preferente","Promo"
"127",1621915,"2019-04-12 01:14:44","MADRID","VALENCIA","2019-05-10 15:30:00","2019-05-10 22:31:00","AVE-MD",NA,"Turista con enlace","Flexible"
"128",1674147,"2019-04-12 15:04:13","MADRID","VALENCIA","2019-05-02 19:40:00","2019-05-02 21:29:00","AVE",NA,"Turista","Promo"
"129",736384,"2019-04-24 23:03:17","MADRID","SEVILLA","2019-05-03 11:00:00","2019-05-03 13:32:00","AVE",128.5,"Preferente","Flexible"
"130",2053548,"2019-04-15 12:15:07","SEVILLA","MADRID","2019-05-26 16:15:00","2019-05-26 18:54:00","AVE",NA,"Turista","Flexible"
"131",1012872,"2019-04-29 11:32:57","SEVILLA","MADRID","2019-05-29 07:15:00","2019-05-29 09:55:00","AVE",47.3,"Turista","Promo"
"132",51763,"2019-04-19 14:38:55","MADRID","SEVILLA","2019-05-17 17:00:00","2019-05-17 19:38:00","AVE",76.3,"Turista","Flexible"
"133",830486,"2019-04-26 11:02:50","BARCELONA","MADRID","2019-04-29 18:00:00","2019-04-29 21:10:00","AVE",98,"Preferente","Promo"
"134",1252808,"2019-05-03 23:42:20","MADRID","BARCELONA","2019-05-08 16:30:00","2019-05-08 19:15:00","AVE",107.7,"Turista","Flexible"
"135",1857626,"2019-04-14 08:28:17","MADRID","BARCELONA","2019-04-22 09:30:00","2019-04-22 12:34:00","AVE",102.15,"Turista Plus","Promo"
"136",2173829,"2019-04-16 06:00:30","MADRID","SEVILLA","2019-04-24 08:30:00","2019-04-24 11:14:00","ALVIA",NA,"Turista","Promo"
"137",611108,"2019-04-23 17:45:42","MADRID","BARCELONA","2019-05-07 13:25:00","2019-05-07 16:24:00","AVE-TGV",75.4,"Turista","Promo"
"138",2232752,"2019-04-16 15:10:24","MADRID","VALENCIA","2019-04-25 17:48:00","2019-04-25 21:58:00","INTERCITY",30.9,"Turista Plus","Promo"
"139",1500019,"2019-05-08 13:29:10","SEVILLA","MADRID","2019-06-26 15:45:00","2019-06-26 18:15:00","AVE",41.2,"Turista","Promo"
"140",894815,"2019-04-27 11:28:06","VALENCIA","MADRID","2019-05-08 14:50:00","2019-05-08 22:30:00","REGIONAL",28.35,"Turista","Adulto ida"
"141",741879,"2019-04-25 01:05:27","MADRID","SEVILLA","2019-05-21 20:35:00","2019-05-21 23:15:00","AVE",53.4,"Turista","Promo"
"142",488949,"2019-04-22 20:04:04","MADRID","SEVILLA","2019-05-04 20:35:00","2019-05-04 23:15:00","AVE",61.45,"Preferente","Promo"
"143",531207,"2019-04-23 03:26:28","MADRID","VALENCIA","2019-05-21 12:21:00","2019-05-21 19:04:00","REGIONAL",28.35,"Turista","Adulto ida"
"144",964950,"2019-04-28 15:33:42","PONFERRADA","MADRID","2019-05-13 06:11:00","2019-05-13 10:15:00","ALVIA",39.05,"Turista","Promo"
"145",1954931,"2019-04-14 22:36:33","MADRID","BARCELONA","2019-04-28 16:30:00","2019-04-28 19:15:00","AVE",107.7,"Turista","Flexible"
"146",135240,"2019-04-20 05:47:36","MADRID","BARCELONA","2019-05-05 17:00:00","2019-05-05 19:30:00","AVE",100.4,"Turista","Promo"
"147",2309918,"2019-04-17 04:42:30","MADRID","VALENCIA","2019-05-01 17:40:00","2019-05-01 19:20:00","AVE",51.15,"Turista","Promo"
"148",2321868,"2019-04-17 06:44:09","MADRID","BARCELONA","2019-05-15 17:00:00","2019-05-15 19:30:00","AVE",58.45,"Turista","Promo"
"149",2079840,"2019-04-15 15:33:17","VALENCIA","MADRID","2019-05-22 17:10:00","2019-05-22 18:50:00","AVE",45.3,"Turista","Promo"
"150",2029280,"2019-04-15 09:27:06","MADRID","VALENCIA","2019-05-24 15:10:00","2019-05-24 17:20:00","INTERCITY",38.8,"Turista","Promo"
"151",345026,"2019-04-21 19:07:25","BARCELONA","MADRID","2019-05-15 06:05:00","2019-05-15 09:15:00","AVE",54.45,"Preferente","Promo"
"152",2115472,"2019-04-15 21:04:29","BARCELONA","MADRID","2019-05-08 13:25:00","2019-05-08 16:10:00","AVE",85.1,"Turista","Promo"
"153",385042,"2019-04-22 01:43:26","MADRID","VALENCIA","2019-05-25 09:40:00","2019-05-25 11:24:00","AVE",39.45,"Turista","Promo"
"154",2532244,"2019-04-18 20:38:37","VALENCIA","MADRID","2019-05-01 17:30:00","2019-05-01 23:58:00","MD-LD",32.4,"Turista con enlace","Promo +"
"155",297212,"2019-04-21 11:04:22","MADRID","SEVILLA","2019-05-31 20:00:00","2019-05-31 22:21:00","AVE",60.3,"Turista","Promo"
"156",1260032,"2019-05-04 03:22:39","MADRID","VALENCIA","2019-05-20 20:40:00","2019-05-20 22:24:00","AVE",21.95,"Turista","Promo"
"157",560395,"2019-04-23 08:38:23","MADRID","VALENCIA","2019-05-24 17:10:00","2019-05-24 18:54:00","AVE",66.55,"Preferente","Promo"
"158",2111493,"2019-04-15 20:23:02","VALENCIA","MADRID","2019-04-17 09:50:00","2019-04-17 17:28:00","REGIONAL",28.35,"Turista","Adulto ida"
"159",1668259,"2019-04-12 13:27:59","MADRID","BARCELONA","2019-04-26 21:25:00","2019-04-26 23:55:00","AVE",NA,"Turista","Promo"
"160",1761516,"2019-04-13 11:03:27","MADRID","BARCELONA","2019-04-22 08:00:00","2019-04-22 10:30:00","AVE",NA,"Preferente","Promo"
"161",99957,"2019-04-19 23:33:08","BARCELONA","MADRID","2019-05-11 20:00:00","2019-05-11 23:10:00","AVE",66.75,"Turista","Promo"
"162",3739,"2019-04-19 06:13:13","SEVILLA","MADRID","2019-05-20 10:45:00","2019-05-20 13:17:00","AVE",60.3,"Turista","Promo"
"163",122327,"2019-04-20 03:38:00","BARCELONA","MADRID","2019-05-17 17:25:00","2019-05-17 19:55:00","AVE",100.4,"Turista","Promo"
"164",1087999,"2019-04-30 19:36:36","SEVILLA","MADRID","2019-06-07 20:15:00","2019-06-07 22:36:00","AVE",35.1,"Turista","Promo"
"165",141719,"2019-04-20 07:15:39","BARCELONA","MADRID","2019-05-10 17:00:00","2019-05-10 19:45:00","AVE",75.4,"Turista","Promo"
"166",946812,"2019-04-28 09:04:12","MADRID","SEVILLA","2019-05-15 11:05:00","2019-05-15 13:41:00","ALVIA",NA,"Turista","Promo"
"167",1798280,"2019-04-13 19:04:46","MADRID","BARCELONA","2019-05-16 17:00:00","2019-05-16 19:30:00","AVE",78.8,"Turista","Promo"
"168",1725945,"2019-04-13 03:13:42","MADRID","SEVILLA","2019-04-22 14:00:00","2019-04-22 16:32:00","AVE",NA,"Turista","Promo"
"169",2521294,"2019-04-18 18:36:40","MADRID","VALENCIA","2019-05-14 19:40:00","2019-05-14 21:29:00","AVE",39.45,"Turista","Promo"
"170",171670,"2019-04-20 12:34:18","SEVILLA","MADRID","2019-05-01 08:45:00","2019-05-01 11:15:00","AVE",69.4,"Preferente","Promo"
"171",1940435,"2019-04-14 20:32:21","BARCELONA","MADRID","2019-04-24 07:05:00","2019-04-24 09:50:00","AVE",58.15,"Turista","Promo"
"172",762431,"2019-04-25 07:41:10","MADRID","BARCELONA","2019-05-28 14:30:00","2019-05-28 17:21:00","AVE",66.75,"Turista","Promo"
"173",127383,"2019-04-20 04:29:17","PONFERRADA","MADRID","2019-05-06 06:11:00","2019-05-06 10:15:00","ALVIA",55.8,"Turista","Flexible"
"174",1039356,"2019-04-29 23:13:20","MADRID","BARCELONA","2019-05-29 07:20:00","2019-05-29 09:50:00","AVE",100.4,"Turista","Promo"
"175",181519,"2019-04-20 14:26:14","VALENCIA","MADRID","2019-05-14 10:40:00","2019-05-14 12:32:00","AVE",27.8,"Turista","Promo"
"176",537811,"2019-04-23 04:37:04","MADRID","VALENCIA","2019-06-02 19:40:00","2019-06-02 21:29:00","AVE",51.15,"Turista","Promo"
"177",1262487,"2019-05-04 05:06:43","SEVILLA","MADRID","2019-05-14 21:00:00","2019-05-14 23:52:00","AV City",38.55,"Turista","Promo"
